"","screenName","rtsum","favsum","totaltweets","rtscore","favscore","type","followers","color"
"1","Benny_Hinn",132219,180141,3169,41.7226254338908,56.8447459766488,"Prosperity",465000,"darkolivegreen4"
"2","BishopEddieLong",1587,5333,126,12.5952380952381,42.3253968253968,"Prosperity",65000,"darkolivegreen4"
"3","BishopJakes",29088,64982,257,113.182879377432,252.848249027237,"Prosperity",2350000,"darkolivegreen4"
"4","CopelandNetwork",46775,106819,1477,31.668923493568,72.3215978334462,"Prosperity",270000,"darkolivegreen4"
"5","Creflo_Dollar",150621,330199,3107,48.4779530093338,106.275828773737,"Prosperity",572000,"darkolivegreen4"
"6","jesse_duplantis",178917,382083,3079,58.1088015589477,124.093212081845,"Prosperity",178000,"darkolivegreen4"
"7","Jim_Bakker",1006,1119,903,1.1140642303433,1.23920265780731,"Prosperity",3082,"darkolivegreen4"
"8","JoelOsteen",7380604,11852064,3173,2326.06492278601,3735.28647967223,"Prosperity",4900000,"darkolivegreen4"
"9","JoyceMeyer",829562,1745375,1972,420.670385395538,885.078600405679,"Prosperity",4130000,"darkolivegreen4"
"10","PastorDScott",41052,89102,918,44.718954248366,97.0610021786492,"Prosperity",22700,"darkolivegreen4"
"11","pastormarkburns",2110,6992,26,81.1538461538462,268.923076923077,"Prosperity",46500,"darkolivegreen4"
"12","Paula_White",112930,298292,913,123.691128148959,326.716319824754,"Prosperity",29900,"darkolivegreen4"
"13","RealRodParsley",2043,5615,198,10.3181818181818,28.3585858585859,"Prosperity",66400,"darkolivegreen4"
"14","BethMooreLPM",127027,727282,3179,39.9581629443221,228.776973891161,"Evangelical",724000,"darkblue"
"15","BillHybels",26632,26781,405,65.758024691358,66.1259259259259,"Evangelical",267000,"darkblue"
"16","edstetzer",3121,14675,494,6.31781376518219,29.7064777327935,"Evangelical",197000,"darkblue"
"17","Franklin_Graham",399687,1300995,701,570.166904422254,1855.91298145506,"Evangelical",644000,"darkblue"
"18","judahsmith",89821,132604,1357,66.1908621960206,97.7184966838615,"Evangelical",376000,"darkblue"
"19","MaxLucado",112133,267692,650,172.512307692308,411.833846153846,"Evangelical",1290000,"darkblue"
"20","PastorMark",104049,175821,1564,66.5274936061381,112.417519181586,"Evangelical",525000,"darkblue"
"21","RickWarren",696965,596873,2172,320.886279926335,274.803406998158,"Evangelical",1840000,"darkblue"
"22","stevenfurtick",246067,448748,2924,84.1542407660739,153.470588235294,"Evangelical",313000,"darkblue"
"23","timkellernyc",130004,293082,543,239.418047882136,539.745856353591,"Evangelical",278000,"darkblue"
